№	Equipo	Y	A	H	PAGS	pelotas	O	% puntos
1	Nápoles	8	7	1	0	21-6	22	91,7
2	Milán	8	7	0	1	20-9	21	87,5
3	juventus	8	6	2	0	20-3	20	83,3
4	En término	7	6	0	1	19-4	18	85,7
5	Lacio	8	5	1	2	14-7	16	66,7
6	Bolonia	8	4	3	1	12-6	15	62,5
7	Údinez	7	3	3	1	12-6	12	57,1
8	Monza	8	4	0	4	11-8	12	50,0
9	salernitana	7	3	2	2	12-8	11	52,4
10	Sassuolo	7	3	2	2	11-7	11	52,4
11	Turín	7	3	2	2	6-4	11	52,4
12	atalanta	8	3	2	3	11-11	11	45,8
13	fiorentina	7	3	2	2	11-12	11	52,4
14	Empoli	8	3	2	3	7-8	11	45,8
15	Roma	7	3	1	3	7-5	10	47,6
16	especia	7	2	4	1	11-10	10	47,6
17	Lecce	7	1	4	2	7-8	7	33,3
18	Verona	8	1	0	7	8-17	3	12,5
19	cremonés	7	0	3	4	2-11	3	14,3
20	sampdoria	8	0	2	6	2-13	2	8,3
