No.	Equipo	Y	A	H	PAGS	pelotas	O	% puntos
1	Nápoles	15	13	2	0	37-12	41	91,1
2	Milán	15	10	3	2	29-15	33	73,3
3	juventus	15	9	4	2	24-7	31	68,9
4	Lacio	15	9	3	3	26-11	30	66,7
5	En término	15	10	0	5	34-22	30	66,7
6	atalanta	15	8	3	4	22-15	27	60,0
7	Roma	15	8	3	4	18-14	27	60,0
8	Údinez	15	6	6	3	24-17	24	53,3
9	Turín	15	6	3	6	16-17	21	46,7
10	Bolonia	15	5	4	6	20-25	19	42,2
11	fiorentina	15	5	4	6	18-20	19	42,2
12	salernitana	15	4	5	6	19-24	17	37,8
13	Empoli	15	4	5	6	12-19	17	37,8
14	Monza	15	5	1	9	16-22	16	35,6
15	Sassuolo	15	4	4	7	15-22	16	35,6
16	Lecce	15	3	6	6	14-17	15	33,3
17	especia	15	3	4	8	14-26	13	28,9
18	cremonés	15	0	7	8	11-26	7	15,6
19	sampdoria	15	1	3	11	6-27	6	13,3
20	Verona	15	1	2	12	12-29	5	11,1
