No.	Equipo	Y	A	H	PAGS	pelotas	O	% puntos
1	Nápoles	7	6	1	0	16-6	19	90,5
2	Roma	8	5	2	1	11-9	17	70,8
3	atalanta	7	5	1	1	11-4	16	76,2
4	Lacio	7	4	2	1	12-4	14	66,7
5	Milán	7	3	3	1	9-6	12	57,1
6	Údinez	8	3	3	2	12-11	12	50,0
7	En término	8	4	0	4	15-18	12	50,0
8	juventus	7	3	2	2	4-4	11	52,4
9	Turín	8	3	1	4	10-13	10	41,7
10	fiorentina	8	2	2	4	7-8	8	33,3
11	Lecce	8	2	2	4	7-9	8	33,3
12	Empoli	7	1	3	3	5-11	6	28,6
13	salernitana	8	1	3	4	7-16	6	25,0
14	Sassuolo	8	1	2	5	4-15	5	20,8
15	cremonés	8	0	4	4	9-15	4	16,7
16	Monza	7	1	1	5	5-14	4	19,0
17	sampdoria	7	1	1	5	4-14	4	19,0
18	Bolonia	7	1	1	5	8-19	4	19,0
19	especia	8	1	0	7	3-16	3	12,5
20	Verona	7	0	2	5	4-12	2	9,5
